CMDLINE C:\Users\Isaac\AppData\Local\Programs\Python\Python311\python.exe copy_of_4_double_dqn.py
MEM 1150.949219 1708462856.3247
MEM 1156.167969 1708462856.4253
MEM 1160.898438 1708462856.5258
MEM 1166.125000 1708462856.6262
MEM 1171.343750 1708462856.7268
MEM 1176.187500 1708462856.8274
MEM 1181.128906 1708462856.9276
MEM 1186.519531 1708462857.0280
MEM 1191.742188 1708462857.1284
MEM 1196.308594 1708462857.2288
MEM 1201.531250 1708462857.3291
MEM 1206.750000 1708462857.4295
MEM 1211.417969 1708462857.5297
MEM 1216.425781 1708462857.6302
MEM 1221.687500 1708462857.7304
MEM 1227.687500 1708462857.8310
MEM 1233.652344 1708462857.9312
MEM 1239.941406 1708462858.0315
MEM 1245.730469 1708462858.1318
MEM 1251.734375 1708462858.2322
MEM 1257.363281 1708462858.3327
MEM 1210.761719 1708462858.4331
MEM 1211.480469 1708462858.5336
MEM 1212.199219 1708462858.6341
MEM 1212.921875 1708462858.7346
MEM 1214.386719 1708462858.8349
MEM 1217.613281 1708462858.9354
MEM 1222.214844 1708462859.0359
MEM 1227.433594 1708462859.1365
MEM 1232.703125 1708462859.2367
MEM 1237.871094 1708462859.3369
MEM 1243.089844 1708462859.4375
MEM 1248.472656 1708462859.5381
MEM 1253.699219 1708462859.6386
MEM 1258.535156 1708462859.7390
MEM 1263.476562 1708462859.8396
MEM 1268.699219 1708462859.9401
MEM 1274.082031 1708462860.0405
MEM 1279.300781 1708462860.1410
MEM 1284.523438 1708462860.2415
MEM 1290.019531 1708462860.3420
MEM 1295.449219 1708462860.4425
MEM 1300.496094 1708462860.5430
MEM 1305.226562 1708462860.6435
MEM 1310.808594 1708462860.7440
MEM 1316.812500 1708462860.8445
MEM 1323.078125 1708462860.9451
MEM 1328.800781 1708462861.0457
MEM 1334.863281 1708462861.1461
MEM 1300.562500 1708462861.2466
MEM 1290.156250 1708462861.3472
MEM 1290.875000 1708462861.4476
MEM 1292.343750 1708462861.5482
MEM 1294.988281 1708462861.6484
MEM 1299.933594 1708462861.7487
MEM 1304.769531 1708462861.8492
MEM 1309.921875 1708462861.9497
MEM 1315.417969 1708462862.0502
MEM 1320.636719 1708462862.1507
MEM 1325.578125 1708462862.2509
MEM 1330.796875 1708462862.3514
MEM 1336.023438 1708462862.4515
MEM 1341.402344 1708462862.5519
MEM 1346.621094 1708462862.6522
MEM 1351.839844 1708462862.7528
MEM 1357.058594 1708462862.8532
MEM 1362.277344 1708462862.9537
MEM 1367.667969 1708462863.0540
MEM 1372.886719 1708462863.1545
MEM 1378.109375 1708462863.2548
MEM 1383.328125 1708462863.3554
MEM 1387.898438 1708462863.4559
MEM 1393.558594 1708462863.5563
MEM 1398.660156 1708462863.6569
MEM 1403.492188 1708462863.7574
MEM 1409.457031 1708462863.8579
MEM 1415.738281 1708462863.9585
MEM 1421.746094 1708462864.0588
MEM 1371.000000 1708462864.1591
MEM 1371.628906 1708462864.2595
MEM 1373.734375 1708462864.3600
MEM 1376.953125 1708462864.4604
MEM 1380.917969 1708462864.5607
MEM 1386.140625 1708462864.6610
MEM 1391.359375 1708462864.7615
MEM 1396.578125 1708462864.8620
MEM 1401.421875 1708462864.9622
MEM 1406.527344 1708462865.0625
MEM 1411.746094 1708462865.1630
MEM 1416.968750 1708462865.2636
MEM 1422.195312 1708462865.3641
MEM 1427.406250 1708462865.4645
MEM 1432.789062 1708462865.5651
MEM 1437.632812 1708462865.6656
MEM 1442.574219 1708462865.7660
MEM 1447.792969 1708462865.8664
MEM 1453.015625 1708462865.9666
MEM 1458.398438 1708462866.0668
MEM 1463.625000 1708462866.1672
MEM 1468.464844 1708462866.2676
MEM 1473.691406 1708462866.3677
MEM 1478.632812 1708462866.4680
MEM 1483.859375 1708462866.5686
MEM 1488.566406 1708462866.6689
MEM 1494.566406 1708462866.7691
MEM 1500.375000 1708462866.8697
MEM 1506.082031 1708462866.9700
MEM 1451.289062 1708462867.0702
MEM 1453.859375 1708462867.1704
MEM 1456.707031 1708462867.2706
MEM 1460.410156 1708462867.3708
MEM 1465.628906 1708462867.4712
MEM 1470.195312 1708462867.5714
MEM 1475.472656 1708462867.6718
MEM 1480.691406 1708462867.7724
MEM 1485.910156 1708462867.8725
MEM 1490.753906 1708462867.9729
MEM 1495.699219 1708462868.0734
MEM 1501.082031 1708462868.1738
MEM 1506.617188 1708462868.2744
MEM 1512.511719 1708462868.3749
MEM 1530.187500 1708462868.4754
MEM 1519.566406 1708462868.5760
MEM 1524.789062 1708462868.6766
MEM 1529.414062 1708462868.7770
MEM 1534.644531 1708462868.8775
MEM 1539.207031 1708462868.9781
MEM 1543.773438 1708462869.0787
MEM 1548.992188 1708462869.1789
MEM 1553.566406 1708462869.2792
MEM 1558.414062 1708462869.3795
MEM 1563.355469 1708462869.4798
MEM 1567.929688 1708462869.5800
MEM 1573.156250 1708462869.6804
MEM 1578.089844 1708462869.7807
MEM 1583.625000 1708462869.8809
MEM 1588.972656 1708462869.9813
MEM 1594.660156 1708462870.0815
MEM 1534.203125 1708462870.1821
MEM 1538.003906 1708462870.2823
MEM 1542.570312 1708462870.3829
MEM 1547.511719 1708462870.4835
MEM 1552.078125 1708462870.5841
MEM 1556.644531 1708462870.6846
MEM 1561.488281 1708462870.7848
MEM 1566.593750 1708462870.8854
MEM 1571.160156 1708462870.9856
MEM 1575.250000 1708462871.0860
MEM 1579.640625 1708462871.1864
MEM 1584.207031 1708462871.2868
MEM 1588.773438 1708462871.3873
MEM 1593.347656 1708462871.4877
MEM 1597.914062 1708462871.5881
MEM 1602.480469 1708462871.6887
MEM 1607.050781 1708462871.7889
MEM 1611.617188 1708462871.8895
MEM 1616.191406 1708462871.9899
MEM 1621.199219 1708462872.0905
MEM 1626.140625 1708462872.1911
MEM 1630.707031 1708462872.2914
MEM 1635.273438 1708462872.3919
MEM 1639.843750 1708462872.4923
MEM 1644.421875 1708462872.5926
MEM 1649.644531 1708462872.6928
MEM 1654.210938 1708462872.7932
MEM 1659.066406 1708462872.8937
MEM 1664.007812 1708462872.9942
MEM 1669.355469 1708462873.0948
MEM 1680.265625 1708462873.1952
MEM 1685.804688 1708462873.2956
MEM 1679.480469 1708462873.3958
MEM 1679.503906 1708462873.4962
MEM 1682.539062 1708462873.5966
MEM 1685.218750 1708462873.6968
MEM 1687.843750 1708462873.7974
MEM 1690.476562 1708462873.8979
MEM 1693.476562 1708462873.9981
MEM 1696.101562 1708462874.0989
MEM 1699.101562 1708462874.1994
MEM 1702.109375 1708462874.2999
MEM 1705.117188 1708462874.4004
MEM 1707.738281 1708462874.5007
MEM 1710.726562 1708462874.6009
MEM 1713.351562 1708462874.7015
MEM 1715.984375 1708462874.8021
MEM 1718.984375 1708462874.9026
MEM 1721.609375 1708462875.0031
MEM 1724.234375 1708462875.1034
MEM 1726.859375 1708462875.2038
MEM 1729.488281 1708462875.3040
MEM 1732.128906 1708462875.4046
MEM 1734.753906 1708462875.5051
MEM 1737.378906 1708462875.6056
MEM 1740.007812 1708462875.7061
MEM 1742.632812 1708462875.8065
MEM 1745.257812 1708462875.9070
MEM 1747.890625 1708462876.0074
MEM 1750.898438 1708462876.1079
MEM 1753.148438 1708462876.2081
MEM 1756.160156 1708462876.3086
MEM 1760.375000 1708462876.4092
MEM 1765.414062 1708462876.5097
MEM 1766.070312 1708462876.6101
MEM 1768.039062 1708462876.7109
MEM 1771.042969 1708462876.8113
MEM 1773.667969 1708462876.9117
MEM 1776.292969 1708462877.0121
MEM 1778.988281 1708462877.1123
MEM 1781.988281 1708462877.2127
MEM 1784.613281 1708462877.3131
MEM 1786.863281 1708462877.4136
MEM 1789.492188 1708462877.5140
MEM 1792.117188 1708462877.6141
MEM 1795.125000 1708462877.7143
MEM 1797.750000 1708462877.8149
MEM 1800.375000 1708462877.9151
MEM 1803.000000 1708462878.0153
MEM 1806.007812 1708462878.1159
MEM 1808.636719 1708462878.2160
MEM 1811.261719 1708462878.3163
MEM 1813.886719 1708462878.4167
MEM 1816.511719 1708462878.5170
MEM 1819.140625 1708462878.6175
MEM 1821.765625 1708462878.7177
MEM 1824.777344 1708462878.8181
MEM 1827.410156 1708462878.9185
MEM 1830.035156 1708462879.0191
MEM 1832.660156 1708462879.1196
MEM 1835.660156 1708462879.2200
MEM 1837.914062 1708462879.3207
MEM 1840.921875 1708462879.4211
MEM 1843.546875 1708462879.5216
MEM 1847.210938 1708462879.6221
MEM 1851.339844 1708462879.7225
MEM 1851.714844 1708462879.8231
MEM 1854.585938 1708462879.9237
MEM 1856.835938 1708462880.0239
MEM 1859.460938 1708462880.1246
MEM 1862.085938 1708462880.2250
MEM 1864.714844 1708462880.3256
MEM 1867.339844 1708462880.4261
MEM 1869.972656 1708462880.5265
MEM 1872.597656 1708462880.6274
MEM 1875.597656 1708462880.7275
